cleaned_posts,pred_sentiment,pred_sentiment_score,state,city,tests,devices,avg_d_mbps,avg_u_mbps,avg_lat_ms,clusters,cluster_category,date_col
Astro in Kuala Selangor seems a little slow today Anyone else noticing this,negative,0.78218013,Selangor,Kuala Selangor,8958,3941,19.48864228934817,8.104643879,34.33704292527822,2.0,service interruptions,5/3/2024
TM Unifi in Klang is working but speeds are slower than normal Anyone else,neutral,0.5581672191619873,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,8/3/2024
TIME in Gombak seems to  be slightly slower than usual Is there some maintenance going on,negative,0.8691917657852173,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,2.0,service interruptions,11/3/2024
Astro in Putrajaya feels a bit sluggish today Not too bad but noticeable,neutral,0.7104288339614868,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,6/3/2024
TM Unifi is completely down in Klang I cant do any work When will this be fixed,negative,0.9749979972839355,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,12/3/2024
TIME internet in Seremban has been down for hours Why is there no update,negative,0.9610181450843812,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,5/3/2024
TIME internet in Sepang is so slow today I cant get anything done,negative,0.9772102236747742,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,13/3/2024
TM Unifi in Gombak is completely down No updates  from customer support either,negative,0.9650673866271972,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,1.0,slow speed,11/3/2024
TIME in Kuala Selangor is so slow its like Im back on dialup,negative,0.920188009738922,Selangor,Kuala Selangor,8958,3941,19.48864228934817,8.104643879,34.33704292527822,2.0,service interruptions,6/3/2024
Maxis in Putrajaya has been down for hours Whats going on,negative,0.9621715545654296,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,10/3/2024
TM Unifi in Klang is working great No issues so far Keep it up,positive,0.9890032410621644,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,9/3/2024
TIME connection in Seremban has been stable and fast all day Good job,positive,0.986322284,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,0.0,good speed / reliable connection,7/3/2024
TIME speeds in Sepang are much faster than last week Thanks for improving,positive,0.9875104427337646,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,11/3/2024
TM Unifi in Gombak is running smoothly with no interruptions Great job,positive,0.9893717765808104,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,1.0,slow speed,14/3/2024
TIME in Kuala Selangor is performing really well today Speeds are great,positive,0.9920030832290648,Selangor,Kuala Selangor,8958,3941,19.48864228934817,8.104643879,34.33704292527822,0.0,good speed / reliable connection,14/3/2024
Maxis in Putrajaya has been consistent an d fast this whole week Very happy with the service,positive,0.9904991984367372,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,0.0,good speed / reliable connection,5/3/2024
Maxis in Seremban has been really stable today Thanks for the consistent service,positive,0.9888864159584044,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,0.0,good speed / reliable connection,7/3/2024
Maxis in Klang has been reall y good lately No complaints from me,positive,0.9889991879463196,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,10/3/2024
TM Unifi in Putrajaya is running smoothly today Very satisfied with the speed,positive,0.990371048,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,1.0,slow speed,5/3/2024
Astro in Putrajaya has been providing fast and reliable service lately Great job,positive,0.9911501407623292,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,0.0,good speed / reliable connection,11/3/2024
Maxis in Klang is running smoothly today Very happy with the speed,positive,0.9909740090370178,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,10/3/2024
Maxis internet in Seremban seems a bit off today  Anyone else noticing the same,negative,0.9231742024421692,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,12/3/2024
TIME connection in Kuala Lumpur is okay just not as fast as usual Might be a busy day,neutral,0.6104148030281067,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,13/3/2024
Astro in Klang is alright tod ay but I noticed some minor hiccups Nothing major though ,neutral,0.8979756832122803,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,11/3/2024
TM Unifi in Klang is fine just a tad slower than usual Might be normal congestion right,neutral,0.8359560966491699,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,14/3/2024
TIME in Sepang is working fine though I  notice a small dip in speed Could just be peak time,positive,0.5652728080749512,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,11/3/2024
Astro in Kuala Selangor seems to be working okay A bit of lag here and there but not bad,positive,0.9543940424919128,Selangor,Kuala Selangor,8958,3941,19.48864228934817,8.104643879,34.33704292527822,2.0,service interruptions,6/3/2024
Maxis in Putrajaya seems stable enough but I notice the connection isnt as snappy as usual,neutral,0.5289109349250793,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,11/3/2024
Unifi in Kuala Lumpur is okay but I think the speeds are lower than what I normally get,negative,0.5520923733711243,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,1.0,slow speed,9/3/2024
Astro in Klang is okay but its definitely not as smooth as Id like it to be,negative,0.502254069,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,11/3/2024
TIME in Putrajaya is  working okay though Im noticing a bit of a delay when loading videos,neutral,0.6193466186523438,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,13/3/2024
Astro in Sepang is stable though not as fast as its been in the past few weeks,neutral,0.8130175471305847,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,0.0,good speed / reliable connection,7/3/2024
Maxis in Seremban is alright but it feels like the connection is a little weaker than normal,negative,0.7624477744102478,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,13/3/2024
Maxis in  Klang is working but I feel like the connection isnt as strong as b efore,negative,0.6060371994972229,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,7/3/2024
Unifi in Sepang is  alright though I think the speeds could be a bit better,positive,0.7741841673851013,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,13/3/2024
TIME in Gombak is okay but I feel like the speeds are lower than normal,negative,0.6329652070999146,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,2.0,service interruptions,12/3/2024
Unifi in Kuala Lumpur is okay but I feel like the speeds are a bit inconsistent,negative,0.6970239877700806,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,1.0,slow speed,11/3/2024
Maxis in Kuala Lumpur is so slow today I cant even load a single video without buffering,negative,0.9765920042991638,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,9/3/2024
Unifi in Klang is completely down again This is so frustrating when will this get fixed,negative,0.980796218,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,10/3/2024
TIME in  Seremban is painfully  slow Feels like Im back in the dialup era,negative,0.9585998058319092,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,10/3/2024
Unifi in Gombak is acting up again I cant believe we pay for this kind of service,negative,0.9807960987091064,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,2.0,service interruptions,10/3/2024
Maxis in Putrajaya has been down for hours How is this acceptable,negative,0.9748780131340028,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,9/3/2024
TIME in Sepang is practically crawling today Whats going on,negative,0.6433799266815186,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,5/3/2024
Astro in Kuala Lumpur is so bad today I cant even stay connected for more than    minutes,negative,0.9818087220191956,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,6/3/2024
Maxis in Seremban keeps dropping out Im so tired of dealing with this,negative,0.9803410768508912,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,10/3/2024
Unifi in Sepang has been down for hours This is getting out of hand,negative,0.975907028,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,9/3/2024
TIME in Klang is useless today I cant even browse the web properly,negative,0.9799617528915404,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,14/3/2024
TIME in Kuala Lumpur is the worst today I cant even send an email,negative,0.9823447465896606,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,13/3/2024
Unifi in Putrajaya keeps dropping the connection So frustrating,negative,0.979765236377716,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,9/3/2024
Maxis in Seremban has been down for hours Whats the point of customer service if they never respond,negative,0.9744746088981628,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,11/3/2024
TIME in Gombak is super slow This is just unacceptable,negative,0.9790380001068116,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,2.0,service interruptions,6/3/2024
Maxis in Klang is down again Why does this keep happening,negative,0.9760748744010924,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,14/3/2024
Astro in Sepang is practically useless today So frustrating,negative,0.98166161775589,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,9/3/2024
Unifi in Seremban is surprisingly fast today I hope it stays this way,positive,0.983664572238922,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,1.0,slow speed,5/3/2024
Unifi in Seremban is surprisingly fast today I hope it stays this way,positive,0.983664572238922,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,1.0,slow speed,14/3/2024
TIME in Klang is running so smoothly No interruptions at all great job,positive,0.989408016,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,6/3/2024
Astro in Kuala Lumpur has been really solid today Lo ving the fast speeds,positive,0.9777274131774902,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,0.0,good speed / reliable connection,14/3/2024
Astro in Gombak has been excellent Super fast and reliable,positive,0.9883638620376588,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,0.0,good speed / reliable connection,12/3/2024
Maxis in Sepang is stable and fast today Really appreciate the solid connection,positive,0.9912397265434264,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,0.0,good speed / reliable connection,11/3/2024
Unifi in Putrajaya is running so smoothly today No complaints at all,positive,0.9896525740623474,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,1.0,slow speed,9/3/2024
TIME in Sepang is surprisingly fast today Really impressed,positive,0.9890400171279908,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,0.0,good speed / reliable connection,5/3/2024
TIME in Seremban is p erforming perfectly today Thanks for the improvements,positive,0.990871251,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,8/3/2024
Astro in Klang has been super reliable lately Really happy with the service,positive,0.9920666217803956,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,13/3/2024
Unifi in Kuala Lumpur is surprisingly stable today Loving the consistency,positive,0.9887576699256896,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,1.0,slow speed,6/3/2024
TIME in Sepang is working flawlessly today Keep up the great work,positive,0.992437183856964,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,12/3/2024
Astro in Gombak has been super fast all day Really impressed with the service,positive,0.9915964007377625,Selangor,Gombak,24898,10651,22.91330172413793,10.65616551724138,28.286206896551725,0.0,good speed / reliable connection,13/3/2024
Maxis in Seremban is super fast today Really appreciate the consistency,positive,0.9894744157791138,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,0.0,good speed / reliable connection,8/3/2024
TIME in Kuala Lumpur is surprisingly fast today Thanks for the boost,positive,0.9826539158821106,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,0.0,good speed / reliable connection,11/3/2024
Astro in Putrajaya is super reliable today Loving the fast speeds,positive,0.991291046142578,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,0.0,good speed / reliable connection,11/3/2024
Maxis in Putrajaya seems s teady but I feel like the speed isnt as fast as before Could be temporary,negative,0.6099028587341309,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,13/3/2024
TIME in Kuala Lumpur is okay but theres definitely some lag when Im streaming videos Hope it clears up soon,neutral,0.9130017161369324,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,11/3/2024
Astro in Klang is functioning  alright though its slower than Id like Could be the weather or something,neutral,0.7200150489807129,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,5/3/2024
Unifi in Sepang is working but I feel like the connection isnt as stable as usual Maybe just today,negative,0.855712891,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,13/3/2024
TIME in Seremban seems fine though the speed fluctuates from time to time Could just be a busy day,neutral,0.8897644281387329,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,8/3/2024
TIME in Kuala Lumpur is steady but the download speeds could be a little better Probably just peak time,neutral,0.5175325274467468,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,9/3/2024
Unifi in Klang is steady enough though the speed seems a bit lower than normal today,neutral,0.6682876348495483,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,10/3/2024
Astro in Sepang is alright though the speed could be a bit faster Might just be the time of day,neutral,0.5576872825622559,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,8/3/2024
Maxis in Seremban is steady today though Ive noticed a slight drop in speed while browsing,neutral,0.8109042048454285,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,7/3/2024
Astro in Kuala Lumpur is working alright but the connection speed feels inconsistent,negative,0.7063778042793274,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,12/3/2024
Maxis in Putrajaya is sta ble enough but theres a noticeable drop in speed during peak hours,negative,0.7300291657447815,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,14/3/2024
TIME in Seremban is alright though the download speed could be a bit better Still usable though,positive,0.8662925362586975,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,5/3/2024
Unifi in Sepang is working but the connection feels slower than usual Maybe just today,negative,0.6782042384147644,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,9/3/2024
TIME in Klang is mostly stable but Ive noticed a few interruptions here and there,neutral,0.95442932844162,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,12/3/2024
TIME in Sepang is stable enough but theres definitely some lag during peak hours,neutral,0.6305698156356812,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,8/3/2024
Astro in Kuala Lumpur is alright though the speed seems to drop when Im streaming Hopefully it improves soon,neutral,0.5775802731513977,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,14/3/2024
TIME in Kuala Lumpur is crawling I cant get anything done and its driving me nuts,negative,0.9770452976226808,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,8/3/2024
Astro in Klang is practically unusable today I keep getting disconnected every    minutes,negative,0.978287399,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,13/3/2024
Unifi in Seremban is out for hours now How is this happening again Come on fix it,negative,0.97698921,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,1.0,slow speed,6/3/2024
TIME in Putrajaya is barely functional today I cant even make it through a video call without it cutting out,negative,0.9764997959136964,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,14/3/2024
Maxis in Sepang is down AGAIN This is happening way too often Im seriously fed up,negative,0.9815412759780884,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,11/3/2024
Unifi in Klang has been out since this morning How long do we have to wait to get things back up,negative,0.9442254304885864,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,8/3/2024
TIME in Serem ban is so unreliable today My connection drops every few minutes,negative,0.9787237644195556,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,11/3/2024
TIME in Putrajaya is super slow Feels like Im stuck in the past with this speed,negative,0.9696894884109496,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,11/3/2024
Unifi in Sepang has been out for hours now Why is there no communi cation from support,negative,0.9564340114593506,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,8/3/2024
TIME in Klang is terrible today Cant even watch a video without bufferi ng every few seconds,negative,0.9820146560668944,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,11/3/2024
Maxis in Kuala Lumpur is the worst Its been so slow all week I cant get anything done,negative,0.9814074635505676,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,11/3/2024
Unifi in Seremban keeps dropping out Whats the point of paying for this if it doesnt even work,negative,0.9714660048484802,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,9/3/2024
Astro in Kuala Lumpur keeps cutting out every few minutes This is beyond frustrating,negative,0.9799664616584778,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,2.0,service interruptions,6/3/2024
Maxis in Klang is the worst its been in ages Whats going on with the service,negative,0.9821260571479796,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,10/3/2024
Astro in  Putrajaya is a disaster today I cant get through a single task without being d isconnected,negative,0.9797258973121644,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,14/3/2024
Unifi in Sepang is so unreliable today Cant even load basic websites what gives,negative,0.9806255102157592,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,14/3/2024
Unifi in Seremban has been down all afternoon How is this still not fixed,negative,0.9680946469306946,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,1.0,slow speed,11/3/2024
Astro in Klang keeps cutting out every few minutes Im losing patience with this service,negative,0.980822503566742,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,2.0,service interruptions,6/3/2024
Astro in Sepang is unusable Im beyond frustrated with this connection,negative,0.9820614457130432,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,7/3/2024
Astro in Putrajaya keeps cutting out Im losing patience with this serv ice,negative,0.977275014,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,8/3/2024
TIME in Seremban is painfully slow today Cant even load basic websites what gives,negative,0.978845477,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,14/3/2024
Maxis in Kuala Lumpur has been amazing today Fast speeds and no interruptions really enjoying the service,positive,0.9924220442771912,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,0.0,good speed / reliable connection,9/3/2024
Astro in Seremban is giving me such a smooth connection today Its been perfe ct for work and streaming,positive,0.9919447302818298,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,11/3/2024
Maxis in Klang has been rock solid today No lag or interruptions loving the fast speeds,positive,0.991124153,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,5/3/2024
TIME in Sepang has been excellent today My video calls were crystal clear no issues at all,positive,0.9859790205955504,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,7/3/2024
TIME in Kuala Lumpur is impressively fast No drops or slowdowns Im genuinely impressed,positive,0.9890830516815186,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,0.0,good speed / reliable connection,5/3/2024
Astro in S eremban has been reliable all day Everything just works which is all I can ask for,positive,0.9913382530212402,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,2.0,service interruptions,5/3/2024
TIME in Klang has been super fast today The connection is really solid no complaints at all,positive,0.9912392497062684,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,7/3/2024
Maxis in Putrajaya is surprisingly fast today Havent had such good speeds in a while really pleased,positive,0.9907110333442688,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,0.0,good speed / reliable connection,5/3/2024
Astro in Sepang is giving me excellent speeds today Everythings just working perfectly,positive,0.9925774931907654,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,1.0,slow speed,5/3/2024
TIME in Seremban is really solid today The connection has been perfect no slowdowns at all,positive,0.9879350662231444,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,0.0,good speed / reliable connection,5/3/2024
Unifi in Klang is working perfectly today The connection is fast and stable exactly what I needed,positive,0.991741180419922,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,1.0,slow speed,8/3/2024
TIME in Sepang has been a pleasant surprise The speeds have been consistent no lag or issues,positive,0.9877480268478394,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,2.0,service interruptions,14/3/2024
Astro in Kuala Lumpur is giving me fantastic speeds today Streaming and browsing with no interruptions,positive,0.9905766248703004,Kuala Lumpur,Kuala Lumpur,96773,45181,25.112724569640065,13.338780907668232,25.61032863849765,0.0,good speed / reliable connection,8/3/2024
Unifi  in Putrajaya is so smooth today  Everything is just loading instantly very pleased,positive,0.9917568564414978,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,1.0,slow speed,6/3/2024
Unifi in Sepang is on point today Im really impressed with how smooth everythings been,positive,0.9907228350639344,Selangor,Sepang,15227,7831,22.477149384885763,10.156448154657294,32.618629173989454,0.0,good speed / reliable connection,10/3/2024
Astro in Seremban has been super reliable today Everythings loading fa st and smoothly really happy,positive,0.9920610189437866,Negeri Sembilan,Seremban,30906,13235,22.235787512588114,9.447632426988925,31.74219536757301,0.0,good speed / reliable connection,8/3/2024
TIME in Putrajaya has been super consistent today My connection hasnt dropped once,positive,0.9415892958641052,Putrajaya,Putrajaya,6111,3159,22.934863247863248,10.64131623931624,27.623931623931625,2.0,service interruptions,6/3/2024
Astro in Klang  is giving m e such fast speeds today Havent had this smooth of an experience in a while,positive,0.9837853908538818,Selangor,Klang,34423,14152,21.14195338512764,9.981673696,27.705882352941178,0.0,good speed / reliable connection,8/3/2024
