posts,location,label,provider,pred_sentiment,pred_sentiment_score,dirty_posts,cleaned_posts,state,city,avg_lat_ms,tests,devices,avg_d_mbps,avg_u_mbps,clusters,cluster_category,date_col
Astro in {Location} seems a little slow today. Anyone else noticing this?,Kuala Selangor,neutral,astro,negative,0.78218013,Astro in +Ku~ala Selangor seems a: li(ttle slow| today. Anyone |else !noticing this?,Astro in Kuala Selangor seems a little slow today Anyone else noticing this,Selangor,Kuala Selangor,34.33704292527822,8958,3941,19.48864228934817,8.104643879,2,service interruptions,5/3/2024
"TM Unifi in {Location} is working, but speeds are slower than normal. Anyone else?",Klang,neutral,unifi,neutral,0.5581672191619873,"T;M Unifi in Klang~ is wo=rking:, but spee{ds% are$ slowe:r than normal. Anyo+ne else?",TM Unifi in Klang is working but speeds are slower than normal Anyone else,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,8/3/2024
TIME in {Location} seems to be slightly slower than usual. Is there some maintenance going on?,Gombak,neutral,time,negative,0.8691917657852173,TIME in Gombak seems #to_ be s%lightly slower tha&n usual. Is there some mai#ntenance going on?,TIME in Gombak seems to  be slightly slower than usual Is there some maintenance going on,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,2,service interruptions,11/3/2024
"Astro in {Location} feels a bit sluggish today. Not too bad, but noticeable.",Putrajaya,neutral,astro,neutral,0.7104288339614868,"A{stro{ in P[utrajaya feels* a bit sluggis]h today?.$ Not ?t)oo bad, but not{iceable.",Astro in Putrajaya feels a bit sluggish today Not too bad but noticeable,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,6/3/2024
TM Unifi is completely down in {Location}! I can't do any work. When will this be fixed?,Klang,negative,unifi,negative,0.9749979972839355,TM U&nifi is )completely down in Kla!ng! I can't~ +do any work. When will th$is be |f{ixed?,TM Unifi is completely down in Klang I cant do any work When will this be fixed,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,12/3/2024
TIME internet in {Location} has been down for hours. Why is there no update?,Seremban,negative,time,negative,0.9610181450843811,TIME <int>ernet in Seremba:n has been d;own) for hours. Why is ther(e no update?,TIME internet in Seremban has been down for hours Why is there no update,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,5/3/2024
TIME internet in {Location} is so slow today. I can't get anything done!,Sepang,negative,time,negative,0.9772102236747742,TIME internet in Sepang is% so slow toda:y!. I can't ge$t anything done!,TIME internet in Sepang is so slow today I cant get anything done,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,13/3/2024
TM Unifi in {Location} is completely down. No updates from customer support either!,Gombak,negative,unifi,negative,0.9650673866271973,T^M Unifi in Go;mbak* :is completely down. No update}s_ from (customer s(uppor]t either!,TM Unifi in Gombak is completely down No updates  from customer support either,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,1,slow speed,11/3/2024
"TIME in {Location} is so slow, it's like I'm back on dial-up!",Kuala Selangor,negative,time,negative,0.9201880097389221,"TIME in Ku!a*la S!elangor is so s!low, it's li^ke I'm back on dial-up![",TIME in Kuala Selangor is so slow its like Im back on dialup,Selangor,Kuala Selangor,34.33704292527822,8958,3941,19.48864228934817,8.104643879,2,service interruptions,6/3/2024
Maxis in {Location} has been down for hours. What's going on?,Putrajaya,negative,maxis,negative,0.9621715545654297,M[axis in Putrajaya has been down ;for hour<s.& What's goi!ng on(?,Maxis in Putrajaya has been down for hours Whats going on,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,10/3/2024
TM Unifi in {Location} is working great! No issues so far. Keep it up!,Klang,positive,unifi,positive,0.9890032410621643,"TM Uni>f>i in Klang is ~w|orking great! No i""ssues so fa(r.* Keep it u""p!",TM Unifi in Klang is working great No issues so far Keep it up,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,9/3/2024
TIME connection in {Location} has been stable and fast all day. Good job!,Seremban,positive,time,positive,0.986322284,"T=IME c)onne""ction in Seremban has@ been stable and fast all day. Good job;!",TIME connection in Seremban has been stable and fast all day Good job,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,0,good speed / reliable connection,7/3/2024
TIME speeds in {Location} are much faster than last week. Thanks for improving!,Sepang,positive,time,positive,0.9875104427337646,TIME speeds in Sepa?ng are much faste]r than last week. Thanks for ~improvin:g!,TIME speeds in Sepang are much faster than last week Thanks for improving,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,11/3/2024
TM Unifi in {Location} is running smoothly with no interruptions. Great job!,Gombak,positive,unifi,positive,0.9893717765808105,"TM Unifi in] Gombak ""is runn|ing s%moo>thl;y wit|h no interruptions. Great job!",TM Unifi in Gombak is running smoothly with no interruptions Great job,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,1,slow speed,14/3/2024
TIME in {Location} is performing really well today. Speeds are great!,Kuala Selangor,positive,time,positive,0.9920030832290649,TIME in Kuala Selangor is pe^rforming $r!eally well tod&a&y.& Speeds are grea;t!,TIME in Kuala Selangor is performing really well today Speeds are great,Selangor,Kuala Selangor,34.33704292527822,8958,3941,19.48864228934817,8.104643879,0,good speed / reliable connection,14/3/2024
Maxis in {Location} has been consistent and fast this whole week. Very happy with the service.,Putrajaya,positive,maxis,positive,0.9904991984367371,Maxis in Putrajaya has been co]nsistent an_d fast this whole week.* Very] happy with :the se;rv[ice.,Maxis in Putrajaya has been consistent an d fast this whole week Very happy with the service,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,0,good speed / reliable connection,5/3/2024
Maxis in {Location} has been really stable today. Thanks for the consistent service.,Seremban,positive,maxis,positive,0.9888864159584045,Maxis in S^eremb?an has b#een rea*lly stable to{da=y. T:hanks f*or the; consistent service.,Maxis in Seremban has been really stable today Thanks for the consistent service,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,0,good speed / reliable connection,7/3/2024
Maxis in {Location} has been really good lately. No complaints from me.,Klang,positive,maxis,positive,0.9889991879463196,Maxis{ in Klang has been reall_y good late$ly. No %complaints from] me.,Maxis in Klang has been reall y good lately No complaints from me,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,0,good speed / reliable connection,10/3/2024
TM Unifi in {Location} is running smoothly today. Very satisfied with the speed.,Putrajaya,positive,unifi,positive,0.990371048,TM Unifi i@n $Putrajaya is running smo#othly today. Very satisfied with t(he$ s!peed.,TM Unifi in Putrajaya is running smoothly today Very satisfied with the speed,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,1,slow speed,5/3/2024
Astro in {Location} has been providing fast and reliable service lately. Great job!,Putrajaya,positive,astro,positive,0.9911501407623291,Astro& in Putra[jaya has& been provi(ding fast and %reliable service lately. Great j+ob!,Astro in Putrajaya has been providing fast and reliable service lately Great job,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,0,good speed / reliable connection,11/3/2024
Maxis in {Location} is running smoothly today. Very happy with the speed.,Klang,positive,maxis,positive,0.9909740090370178,Maxis in Klang is runnin[g s<moo|thly to~da=y. Very happy with {the speed.,Maxis in Klang is running smoothly today Very happy with the speed,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,0,good speed / reliable connection,10/3/2024
Maxis internet in {Location} seems a bit off today. Anyone else noticing the same?,Seremban,neutral,maxis,negative,0.9231742024421692,M^axis internet in Serem)ban s@eems a bit< off today. _Anyone else notici*ng the sa|me!?,Maxis internet in Seremban seems a bit off today  Anyone else noticing the same,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,12/3/2024
"TIME connection in {Location} is okay, just not as fast as usual. Might be a busy day?",Kuala Lumpur,neutral,time,neutral,0.6104148030281067,"TIME connectio}n in Kuala Lumpur% is okay, just< not> as fas&t as u;sual.$ Might be a busy day?)",TIME connection in Kuala Lumpur is okay just not as fast as usual Might be a busy day,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,2,service interruptions,13/3/2024
"Astro in {Location} is alright today, but I noticed some minor hiccups. Nothing major though.",Klang,neutral,astro,neutral,0.8979756832122803,"Astro in^ Klang is"" alr%i|ght tod_ay, but I n!oticed [some minor hi:ccups. Nothing major though._",Astro in Klang is alright tod ay but I noticed some minor hiccups Nothing major though ,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,11/3/2024
"TM Unifi in {Location} is fine, just a tad slower than usual. Might be normal congestion, right?",Klang,neutral,unifi,neutral,0.8359560966491699,"TM; Uni>fi in K|lan$g is fine, just a tad slower t|han usual. ^Might be normal co;ngesti:o*n, right@?",TM Unifi in Klang is fine just a tad slower than usual Might be normal congestion right,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,14/3/2024
"TIME in {Location} is working fine, though I notice a small dip in speed. Could just be peak time?",Sepang,neutral,time,positive,0.5652728080749512,"TI]ME &in( Se>pang is working fine, thoug|h: I_ not)ic<e> a small dip in speed;. C[ould just be pe!ak tim]e?",TIME in Sepang is working fine though I  notice a small dip in speed Could just be peak time,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,11/3/2024
Astro in {Location} seems to be working okay. A bit of lag here and there but not bad.,Kuala Selangor,neutral,astro,positive,0.9543940424919128,Astro in K[ua]la Selangor se;ems: to be ~working okay. A bit of +lag he;re and )there bu+t not bad.,Astro in Kuala Selangor seems to be working okay A bit of lag here and there but not bad,Selangor,Kuala Selangor,34.33704292527822,8958,3941,19.48864228934817,8.104643879,2,service interruptions,6/3/2024
"Maxis in {Location} seems stable enough, but I notice the connection isn't as snappy as usual.",Putrajaya,neutral,maxis,neutral,0.5289109349250793,"Maxis in P>utraj^aya seems stable e(nough, but I notice th<e co}nnection is{n't"" as snappy"" as usual.",Maxis in Putrajaya seems stable enough but I notice the connection isnt as snappy as usual,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,11/3/2024
"Unifi in {Location} is okay, but I think the speeds are lower than what I normally get.",Kuala Lumpur,neutral,unifi,negative,0.5520923733711243,"U]nifi i:n K*uala ""Lumpur is okay, but {I think the speeds a!r{e lower* than what I normally% get.",Unifi in Kuala Lumpur is okay but I think the speeds are lower than what I normally get,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,1,slow speed,9/3/2024
"Astro in {Location} is okay, but it's definitely not as smooth as I'd like it to be.",Klang,neutral,astro,negative,0.502254069,"Astro in Kla)ng is okay,] b<ut it's* definitel^y& not| as smooth( <as I'd like it to be.",Astro in Klang is okay but its definitely not as smooth as Id like it to be,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,11/3/2024
"TIME in {Location} is working okay, though I'm noticing a bit of a delay when loading videos.",Putrajaya,neutral,time,neutral,0.6193466186523438,"TIME i%n? Putrajaya is_ w?or}king okay, thou=gh| I'm not#icing a bit o;f a| d*ela}y when loading video=s.",TIME in Putrajaya is  working okay though Im noticing a bit of a delay when loading videos,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,13/3/2024
"Astro in {Location} is stable, though not as fast as it's been in the past few weeks.",Sepang,neutral,astro,neutral,0.8130175471305847,"Astro i<n Se%pang is s*table, though n#o)t as fa{st ""as it's be}e;n in the past few ;weeks.",Astro in Sepang is stable though not as fast as its been in the past few weeks,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,0,good speed / reliable connection,7/3/2024
"Maxis in {Location} is alright, but it feels like the connection is a little weaker than normal.",Seremban,neutral,maxis,negative,0.7624477744102478,"Maxis in Se?remban is alright, but it fe@els like~ the *connecti|on is a lit%tle w:eaker than normal.",Maxis in Seremban is alright but it feels like the connection is a little weaker than normal,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,13/3/2024
"Maxis in {Location} is working, but I feel like the connection isn't as strong as before.",Klang,neutral,maxis,negative,0.6060371994972229,"Ma#xis: in_ Klang $is working, but I feel like the con{nectio*n isn't as ~strong as <b_efore.",Maxis in  Klang is working but I feel like the connection isnt as strong as b efore,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,7/3/2024
"Unifi in {Location} is alright, though I think the speeds could be a bit better.",Sepang,neutral,unifi,positive,0.7741841673851013,"Unifi in> +Se*pang ""is _alright, tho:ugh I think the; speed""s: could be a bi+t bett%er.",Unifi in Sepang is  alright though I think the speeds could be a bit better,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,1,slow speed,13/3/2024
"TIME in {Location} is okay, but I feel like the speeds are lower than normal.",Gombak,neutral,time,negative,0.6329652070999146,"TIME in Gombak is okay, but I &feel like^ the speeds are lower than *normal.",TIME in Gombak is okay but I feel like the speeds are lower than normal,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,2,service interruptions,12/3/2024
"Unifi in {Location} is okay, but I feel like the speeds are a bit inconsistent.",Kuala Lumpur,neutral,unifi,negative,0.6970239877700806,"Uni&fi in Kua*la Lumpur is o^kay, but I feel like the? speed{s ~ar)e ""a bit inconsistent.",Unifi in Kuala Lumpur is okay but I feel like the speeds are a bit inconsistent,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,1,slow speed,11/3/2024
Maxis in {Location} is so slow today! I can't even load a single video without buffering.,Kuala Lumpur,negative,maxis,negative,0.9765920042991638,Maxis in Kuala Lumpur is so slow today! I can'%t even load a single *v{ideo without buf}fering.,Maxis in Kuala Lumpur is so slow today I cant even load a single video without buffering,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,2,service interruptions,9/3/2024
"Unifi in {Location} is completely down again. This is so frustrating, when will this get fixed?",Klang,negative,unifi,negative,0.980796218,"Unifi in Kl?ang is completely down= again. This! is s{o fr|ustrating, when will this"" get fixed?",Unifi in Klang is completely down again This is so frustrating when will this get fixed,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,1,slow speed,10/3/2024
TIME in {Location} is painfully slow. Feels like I'm back in the dial-up era!,Seremban,negative,time,negative,0.9585998058319092,TIME~ in _Seremban is painfully_ slow. Feels like I!'m back i]n the dial-}up era!,TIME in  Seremban is painfully  slow Feels like Im back in the dialup era,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,10/3/2024
Unifi in {Location} is acting up again. I can't believe we pay for this kind of service.,Gombak,negative,unifi,negative,0.9807960987091064,Unifi in Gombak is acting up again. I can?'$t& [b=elieve we< pay f@or# thi*s ki+nd@ of ser;vice.,Unifi in Gombak is acting up again I cant believe we pay for this kind of service,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,2,service interruptions,10/3/2024
Maxis in {Location} has been down for hours. How is this acceptable?,Putrajaya,negative,maxis,negative,0.9748780131340027,"Maxi<s in] Putrajaya :has[ b(een ~d}own f""or hours. How i""s: thi)s acceptab>le?",Maxis in Putrajaya has been down for hours How is this acceptable,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,9/3/2024
TIME in {Location} is practically crawling today. What's going on?,Sepang,negative,time,negative,0.6433799266815186,TIME in Sepan#g is practically& crawling to~day. What's goin=g on?,TIME in Sepang is practically crawling today Whats going on,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,5/3/2024
Astro in {Location} is so bad today. I can't even stay connected for more than 10 minutes.,Kuala Lumpur,negative,astro,negative,0.9818087220191956,Astro in Kuala Lumpur is so bad today. I can't >even stay connected for more !than 1;0 m}inutes.,Astro in Kuala Lumpur is so bad today I cant even stay connected for more than    minutes,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,2,service interruptions,6/3/2024
Maxis in {Location} keeps dropping out. I'm so tired of dealing with this.,Seremban,negative,maxis,negative,0.9803410768508911,"Maxis in S|er;emban k@eeps dropping out. I?'m so tire""d of dealin[g with this.",Maxis in Seremban keeps dropping out Im so tired of dealing with this,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,10/3/2024
Unifi in {Location} has been down for hours. This is getting out of hand.,Sepang,negative,unifi,negative,0.975907028,"Unif:i: in Sepang ha+s been down for hours.) This is getting *out"" o~f hand.",Unifi in Sepang has been down for hours This is getting out of hand,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,1,slow speed,9/3/2024
TIME in {Location} is useless today. I can't even browse the web properly!,Klang,negative,time,negative,0.9799617528915405,"TIME: in Klang is useless today. I can}'t even ~browse the web pr""operly*!",TIME in Klang is useless today I cant even browse the web properly,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,14/3/2024
TIME in {Location} is the worst today. I can't even send an email!,Kuala Lumpur,negative,time,negative,0.9823447465896606,TIME in Ku+al{a [Lump~ur is the worst today. I( can+'t; even send a:n &email!,TIME in Kuala Lumpur is the worst today I cant even send an email,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,2,service interruptions,13/3/2024
Unifi in {Location} keeps dropping the connection. So frustrating!,Putrajaya,negative,unifi,negative,0.9797652363777161,Uni(fi in ?Putrajay?a* keeps droppi*ng$ the connec<tion. So frustrating!,Unifi in Putrajaya keeps dropping the connection So frustrating,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,2,service interruptions,9/3/2024
Maxis in {Location} has been down for hours. What's the point of customer service if they never respond?,Seremban,negative,maxis,negative,0.9744746088981628,Maxis in Sere}mban has been; down for &hours. What's the |po$int of c!ustomer service if they n|ever+ respo[nd?,Maxis in Seremban has been down for hours Whats the point of customer service if they never respond,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,11/3/2024
TIME in {Location} is super slow. This is just unacceptable.,Gombak,negative,time,negative,0.9790380001068115,"TI(M""E in Gombak[ is super slow. This is just unacceptabl!e.",TIME in Gombak is super slow This is just unacceptable,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,2,service interruptions,6/3/2024
Maxis in {Location} is down again. Why does this keep happening?,Klang,negative,maxis,negative,0.9760748744010925,Maxis in Klang is down <again. %Why does this kee$p happenin%g?,Maxis in Klang is down again Why does this keep happening,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,2,service interruptions,14/3/2024
Astro in {Location} is practically useless today. So frustrating!,Sepang,negative,astro,negative,0.9816616177558899,Ast]ro in Sepang is prac~tically useles+s ]to=day. So fru=strating!,Astro in Sepang is practically useless today So frustrating,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,2,service interruptions,9/3/2024
Unifi in {Location} is surprisingly fast today. I hope it stays this way!,Seremban,positive,unifi,positive,0.9836645722389221,Uni+fi in$ Seremban is %surprisingly fast >today. )I hope it stays this way!,Unifi in Seremban is surprisingly fast today I hope it stays this way,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,1,slow speed,5/3/2024
Unifi in {Location} is surprisingly fast today. I hope it stays this way!,Seremban,positive,unifi,positive,0.9836645722389221,Uni+fi in$ Seremban is %surprisingly fast >today. )I hope it stays this way!,Unifi in Seremban is surprisingly fast today I hope it stays this way,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,1,slow speed,14/3/2024
"TIME in {Location} is running so smoothly. No interruptions at all, great job!",Klang,positive,time,positive,0.989408016,"TIME in Klang is running< so smoothly. No interruptions at all, great job!",TIME in Klang is running so smoothly No interruptions at all great job,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,0,good speed / reliable connection,6/3/2024
Astro in {Location} has been really solid today. Loving the fast speeds!,Kuala Lumpur,positive,astro,positive,0.9777274131774902,Astro? in Kuala Lum:pur? has been really so=lid today. !Lo_ving| the fast spe?eds!,Astro in Kuala Lumpur has been really solid today Lo ving the fast speeds,Kuala Lumpur,Kuala Lumpur,25.610328638497652,96773,45181,25.112724569640065,13.338780907668232,0,good speed / reliable connection,14/3/2024
Astro in {Location} has been excellent. Super fast and reliable.,Gombak,positive,astro,positive,0.9883638620376587,"As[tro i>n G]o+mba<k has= be=en exc!ellen:t. Super fa""st and reliab<le.",Astro in Gombak has been excellent Super fast and reliable,Selangor,Gombak,28.286206896551725,24898,10651,22.91330172413793,10.65616551724138,0,good speed / reliable connection,12/3/2024
Maxis in {Location} is stable and fast today. Really appreciate the solid connection!,Sepang,positive,maxis,positive,0.9912397265434265,"Maxis ""i(n Sepang is stable ]and fast to{day. Really appreciate the solid co^nn?e$ct(i&on!",Maxis in Sepang is stable and fast today Really appreciate the solid connection,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,0,good speed / reliable connection,11/3/2024
Unifi in {Location} is running so smoothly today. No complaints at all.,Putrajaya,positive,unifi,positive,0.9896525740623474,Unifi in %Putrajaya is running s:o smoothly today. No] !complaints a!t all.,Unifi in Putrajaya is running so smoothly today No complaints at all,Putrajaya,Putrajaya,27.623931623931625,6111,3159,22.934863247863248,10.64131623931624,1,slow speed,9/3/2024
TIME in {Location} is surprisingly fast today. Really impressed!,Sepang,positive,time,positive,0.9890400171279907,T<IME in Sepan<g is sur=pris=ing*ly fast today. Really impre)ssed!,TIME in Sepang is surprisingly fast today Really impressed,Selangor,Sepang,32.618629173989454,15227,7831,22.477149384885763,10.156448154657294,0,good speed / reliable connection,5/3/2024
TIME in {Location} is performing perfectly today. Thanks for the improvements!,Seremban,positive,time,positive,0.990871251,"TIME in"" S!e""re*mban is p_er*forming perfectly today. Thanks for the improvements!",TIME in Seremban is p erforming perfectly today Thanks for the improvements,Negeri Sembilan,Seremban,31.74219536757301,30906,13235,22.235787512588114,9.447632426988923,2,service interruptions,8/3/2024
Astro in {Location} has been super reliable lately. Really happy with the service.,Klang,positive,astro,positive,0.9920666217803955,Astro in K|lang; has been super reliable lately. Really happy |w>ith the serv>ic$e.,Astro in Klang has been super reliable lately Really happy with the service,Selangor,Klang,27.705882352941178,34423,14152,21.14195338512764,9.981673696,0,good speed / reliable connection,13/3/2024
